Count,Timestamp,"What location is this salary for? Select Remote-US if applicable. If Remote Canada, select Canadian HQ location. ",Position Title,"Base Salary $ (please quote in CAD) eg. 120,000 please DO NOT put ranges","Equity value (please quote into monetary value) eg. 20,000","Bonus, including sign on bonus $ (please quote in CAD, 0 if none) eg. 20,000",Other cash or equity,Total Compensation,"Years of Experience,  please include internships and co-ops eg. 1, 2.5, 5","Highest Education Achieved (most relevant, if possible)",Did you attend a tech bootcamp?,What year is this salary applicable for? ,Industry,"If you selected ""Other"" for industry, what industry is it?","Is this company considered to be FAANG/MMANGA (Microsoft, Apple, Amazon, Google, Facebook/Meta)",Company Size,,,Company Name (optional) 
474,9/19/2022 13:31:13,Ontario (ON),Software Engineer 1,"$112,000.00","$18,000.00","$13,440.00",,"$143,440.00",2,Masters - Related,No,2022,Tech,,No,1000+,,,
475,9/19/2022 22:29:22,Ontario (ON),SSE,"$135,000.00","$115,000.00","$16,000.00",,"$266,000.00",8,Bachelor's Degree - Related,No,2022,Other,Travel,No,1000+,,,
476,9/20/2022 5:17:40,Quebec (QC),Software developer ,"$72,000.00",$0.00,"$2,500.00",0,"$74,500.00",1.5,Masters - Unrelated,No,2022,Telecommunication,,No,11-50,,,
477,9/20/2022 9:30:09,Quebec (QC),Full Stack Developer,"$73,700.00",$0.00,"$5,000.00",,"$78,700.00",4,Bachelor's Degree - Related,No,2022,Other,Banking,No,1000+,,,Desjardins
478,9/21/2022 8:21:32,Ontario (ON),Software Developer,"$120,000.00",$0.00,"$48,000.00",,"$168,000.00",0,Masters - Unrelated,No,2022,Telecommunication,,No,1000+,,,Huawei
479,9/22/2022 14:04:31,Ontario (ON),Full Stack Developer,"$65,000.00",$0.00,$0.00,0,"$65,000.00",0.5,Diploma - Related,No,2022,FinTech,,No,11-50,,,
480,9/26/2022 22:49:19,Ontario (ON),Software Engineer ,"$90,000.00",$0.00,"$4,500.00",,"$94,500.00",3,Diploma - Related,No,2022,Tech,,No,301-500,,,
481,9/27/2022 6:55:33,Remote - US,Fullstack software engineer,"$133,000.00",$0.00,$0.00,2000,"$135,000.00",2,Bachelor's Degree - Unrelated,No,2022,Tech,,No,11-50,,,
482,9/27/2022 10:33:05,Ontario (ON),Software Engineer,"$130,000.00",$0.00,"$13,000.00",,"$143,000.00",7,Bachelor's Degree - Related,No,2022,Tech,,No,201-300,,,
483,9/27/2022 19:14:39,Ontario (ON),Software Developer ,"$65,000.00",$0.00,$0.00,,"$65,000.00",0,Bachelor's Degree - Related,No,2021,Consulting,,No,1000+,,,
